Type,Name,Description
Good,Spin to Win,Make one Melee attack to all creatures within range
Good,The stuff inside stretch armstrong,"the 80s were good to us a stretch armstrong doll that looks like mini Uggo appears in front of you. You pull his arms but unfortunately breaks apart and purple ooze explodes from him. Is it good? Is it evil? Let the dice decide. Rolla D6. 1-3 Evil = damage, 4-6 Good = healing."
Good,You See Nothing,"When you or a party member fails their Stealth check, you have an opportunity to roll a DC15 intimidation check instead so that the NPC sees nothing."
Good,Power of the Lodestar,"Want to crush your enemies but good, use a Lodestar. Call upon the stars and channel your inner chi to drop a Lodestar upon your enemies. That's right, roll well enough and you throw an entire tower from the sky at your enemy. Roll 4 D20 in the box. If you roll doubles of any number double the combined total for force damage, triple for triples and 4x if you roll all four the same number. "
Good,Just in Queso,"You are infused with the strength of the mythical Cheese Cat. The next time your advantage is countered by a disadvantage, gain 5 temporary hit points."
Good,"Never Give Up, Never Surrender","The amulet will not let you give anything else but your best. On your next DMG roll, roll your hit die until you roll the highest possible roll (if it is a d8, until you roll an 8). Count how many times you have to roll until you get it, and add that number to your DMG."
Good,The Fibon-ouchy Numbers,"1  1  2  3  5  8  13

When you roll one of the numbers above on an attack roll, you may cross that number out to deal 1d4 psychic damage to the target, even if the attack missed."
Evil,Smash!,Next time you fall prone an overwhelming force smashes you with ogreish might.  You take 2d10 bludgeoning damage.  Now you know how the clam...and the Achaierai rider felt.
Good,"The Power of Might, Power of Right","Perform a combination move with the player closest to you both rolling dice together for hit and then damage - taking the highest to use as your rolls.  If at any point you two rolled the same number, add a D6 of additional damage for this righteous combo move!"
Good,Standing Out in the Crowd,"There are so many dice to roll, but only certain numbers immediately catch your eye. Grab as many dice as you can fit in your hands and roll them. Count how many max (20 on a d20, 12 on a d12, etc.) and 1 rolls you get. Add the number of max rolls to a DMG roll, or use the number of 1 rolls as healing.  You may decide after rolling."
Good,My 19 Page Character Backstory,"The next time an enemy attacks you, shout ""But have you read my 19 page character backstory?!"".  You hand that enemy a copy and make them read it.  They skip the next round of combat, but can attack you for double damage after that, because they read about all your weaknesses."
